Movie,Critic,Rating,Source,Review,Date
Midway,Kevin A. Ranson,fresh,MovieCrypt.com,"... paints a bleak historic picture of how the balance of power in the world shifted in only six months, tempered with a necessary glimpse into the human cost and the courage of those facing overwhelming odds.","November 11, 2019"
Midway,Ben Rolph,fresh,Discussing Film,Midway is an over-the-top wartime extravaganza of an engrossing nature.,"November 11, 2019"
Midway,Nate Adams,rotten,The Only Critic,"""Midway"" - Roland Emmerich's clunky and loud remake - makes Michael Bay's ""Pearl Harbor"" look like a Best Picture winner. Yikes.","November 10, 2019"
Midway,Wendy Ide,rotten,Observer (UK),Every tired war movie cliche is unearthed in a film that brings nothing new but will no doubt please fans of men in uniform yelling at explosions.,"November 10, 2019"
Midway,Richard Bonaduce,fresh,"KTSU-TV (Salt Lake City, UT)",The filmmakers lean on the good graces of the audience eager for some good news and a return to America's heyday instead of making an accurate and passionate account of a legitimately exhilarating historical event.,"November 10, 2019"
Midway,Katherine Monk,fresh,Ex-Press.com,"Soaking his frames in a yellow, incandescent tint that evokes the warm sun of the Pacific and the passage of time, the director nails the necessary nostalgia to take us on a voyage that feels sincere, even as it lists hard into swirling seas of sentiment.","November 10, 2019"
Midway,Al Alexander,rotten,The Patriot Ledger,"More Atari than kamikaze, ""Midway"" looks all the world like a relic of a video game best left accumulating dust on a shelf.","November 10, 2019"
Midway,Phil Villarreal,fresh,ABC Tucson,A well-crafted World War II film that will likely end up being one for the ages.,"November 10, 2019"
Midway,Simon Foster,fresh,Screen-Space,[The] truer battle raging on-screen in Roland Emmerich's Midway is the clash between Oscar-bait war epic and rousingly cornball B-movie.,"November 10, 2019"
Midway,Susan Granger,rotten,SSG Syndicate,"While the tense aerial dogfights and bombing raids look superb, the screenplay is filled with superficial characters uttering conventional cliches.","November 10, 2019"
Midway,Dan Mecca,fresh,The Film Stage,Most will recall 2001's Pearl Harbormore than anything else. The CGI-laden dogfights are about as entertaining (a compliment in a way) and the wooden dialogue is a touch worse.,"November 9, 2019"
Midway,Todd Jorgenson,rotten,Cinemalogue,"The shallow characters don't warrant much emotional investment, especially when spouting such derivative dialogue. But at least they have an uncanny ability to avoid enemy fire.","November 9, 2019"
Midway,Chris Knight,fresh,National Post,"Midway may not have the same lofty aspirations, but it provides thrilling popcorn fare nonetheless.","November 9, 2019"
Midway,Brian Viner,rotten,Daily Mail (UK),We also get a barrage of only sporadically convincing CGI... and generally abiding by the John Wayne handbook of wartime cliches.,"November 8, 2019"
Midway,Frank Wilkins,rotten,Reel Reviews,Feels like a cheaply-made video presentation for the kiosk at the Pearl Harbor visitor center,"November 8, 2019"
Midway,Linda and Al Lerner,fresh,Movies and Shakers,"The storytelling isn't that great, but Emmerich reenacts the battles that put you right in the middle of explosive action with the flyers who changed history. Buckle up!","November 8, 2019"
Midway,Tim Cogshell,rotten,FilmWeek (KPCC - NPR Los Angeles),"At the end of the day, I think I like Henry Fonda's [Midway] better.","November 8, 2019"
Midway,Amy Nicholson,rotten,FilmWeek (KPCC - NPR Los Angeles),"It's hard to imagine, if you've already seen a film like Pearl Harbor, why you would need to see Midway.","November 8, 2019"
Midway,Barry Hertz,rotten,Globe and Mail,"Midway is a choppy bore, its main source of intrigue centred around whatever New Jersey-ese accent British actor Ed Skrein is attempting as dive bomber Richard Best.","November 8, 2019"
Midway,Chris Agar,fresh,ScreenRant,"Midway works as a touching tribute to those who turned the tide in the Pacific, though it's hamstrung by an underwhelming script.","November 8, 2019"
Midway,Anne Brodie,fresh,What She Said,"Emmerich's compassionate take on the bruising event lacks none of the power of his action thrillers, but stands out due to the basic, decent humanity at its core.","November 8, 2019"
Midway,Edwin Arnaudin,rotten,Asheville Movies,"Working from a script that's serious and reverent to a fault, Emmerich assaults viewers with another effects-heavy extravaganza, refusing to modernize his dated style.","November 8, 2019"
Midway,Jeff Mitchell,fresh,Phoenix Film Festival,"No, Emmerich's picture is not Pearl Harbor (2001), but it's not Flags of Our Fathers (2006) either. Maybe somewhere in the middle. You know, somewhere...","November 8, 2019"
Midway,Adam Graham,fresh,Detroit News,"""Midway"" is a rollicking war film. HIstory buffs need not apply.","November 8, 2019"
Midway,Stephen Schaefer,fresh,Boston Herald,"There are many familiar faces in Roland Emmerich's epic, emotionally charged Midway but they're never a distraction for the larger life or death exploits that are at stake.","November 8, 2019"
Midway,Brandy McDonnell,fresh,The Oklahoman,"It was a job only for the bold and brave, and there are worse ways to spend the lead-up to Veterans Day than remembering the men who risked and sacrificed their lives doing that job.","November 8, 2019"
Midway,Michael O'Sullivan,fresh,Washington Post,"""Midway"" tells a story that's vividly and viscerally rendered, with all the entertainment value of a big, old-fashioned war movie, cutting back and forth between the home front and front line.","November 8, 2019"
Midway,Micheal Compton,rotten,Bowling Green Daily News,The kind of war movie that has been done a million times before -- usually way better. It's an overstuffed CGI extravaganza that substitutes humanity for special effects.,"November 8, 2019"
Midway,Katie Walsh,fresh,Tribune News Service,"The film is filled with characters, with only a couple fleshed out in any real way, the rest just faces and sometimes names. The result is a movie about a dramatic battle that's strangely bloodless and unemotional.","November 8, 2019"
Midway,Peter Sobczynski,rotten,eFilmCritic.com,"Reasonably well-meaning, but ultimately too derivative and one-note to inspire much in the way of enthusiasm from all but the most devoted and undiscerning war movie buffs..","November 8, 2019"
Midway,Louisa Moore,rotten,Screen Zealots,"After viewing this film, I can't decide which is worse: the directing, the screenplay, or the acting. It's a trifecta of mediocrity.","November 8, 2019"
Midway,Adam Sweeting,rotten,The Arts Desk,"This would have been a splendid wartime morale-booster 70-odd years ago, starring John Wayne or Errol Flynn.","November 8, 2019"
Midway,Odie Henderson,rotten,RogerEbert.com,"The overabundance of CGI is one of the bigger problems with Midway because, far too often, it feels like you're watching a video game or an F/X highlight reel.","November 8, 2019"
Midway,Dan Lybarger,rotten,Arkansas Democrat-Gazette,"While the actors earnestly try to look horrified or determined by the potential doom coming their way, the Nintendo Wii-level images ruin the illusion.","November 8, 2019"
Midway,Kenneth Turan,fresh,Los Angeles Times,"Ambiguity is not its goal, nor is nihilism its motivating philosophy. It aims to celebrate heroism, sacrifice, determination and grit, and if you don't like that it really does not care.","November 8, 2019"
Midway,Gary Wolcott,fresh,"KXL-FM (Portland, OR)",A WWII war movie & a history lesson. It's a fairly accurate one packed with decent performances & great effects. Midway sits midway between good & great.,"November 8, 2019"
Midway,Steven Prokopy,fresh,Third Coast Review,"Midway is a sometime flawed film, especially when it pushes the patriotism and heroism angles a bit too much, but it doesn't always feel inappropriate.","November 8, 2019"
Midway,Jim Judy,rotten,Screen It!,"Featuring and favoring spectacle over character and story substance. (Full Content Review for Parents - Violence, Profanity, etc. - also Available)","November 8, 2019"
Midway,Mark Dujsik,rotten,Mark Reviews Movies,"[T]he movie is a series of action setpieces, interrupted by strategic debates and the most basic attempts to give its key heroes a personal side.","November 8, 2019"
Midway,Tony Medley,rotten,Tolucan Times,...as platitudinous and clichd as the B war movies churned out during WWII...a disgrace...the men who won at Midway deserve a lot better.,"November 8, 2019"
Midway,Tom Santilli,rotten,Movie Show Plus,"Midway is truly one of the worst movies of the year, and one that will have you searching for an eject button of your own.","November 8, 2019"
Midway,Nell Minow,fresh,Movie Mom,"Skrein makes Best the quintessential American hero, cool under pressure, confident, a bit of a cowboy.","November 8, 2019"
Midway,Kumar Shyam,fresh,The National (UAE),"If you're a fan of war films, it's an entertaining watch, with notable performances from Skrein, Quaid, Evans and Harrelson in particular.","November 8, 2019"
Midway,Josh Bell,rotten,Film Racket,The situation is pretty dire if Emmerich can't even get the explosions right.,"November 8, 2019"
Midway,Richard Roeper,rotten,Chicago Sun-Times,"These terrific actors and many more are stuck playing one-dimensional characters who have to deliver lines straight out of a second-rate, mid-20th century war movie, while competing with 21st century CGI pyrotechnics.","November 7, 2019"
Midway,Ronak Kotecha,fresh,The Times of India,"As a war drama, Midway manages to educate, inform and entertain its audience about a historic battle that changed the course of World War II in the Pacific.","November 7, 2019"
Midway,Chris Klimek,rotten,NPR,Midway isn't a movie about World War II. It's a movie about World War II movies.,"November 7, 2019"
Midway,Charles Koplinski,fresh,Illinois Times,"Roland Emmerich's ""Midway"" is not simply a rousing adventure film but also a respectful tribute to the men who gave their lives during this decisive battle, marking a new sense of maturity to the director's work.","November 7, 2019"
Midway,Peter Travers,rotten,Rolling Stone,Roland Emmerich's take on an epic WW2 naval battle dive bombs on screen by thinking plastering the latest in digital effects over the same war-time movie tropes constitutes a movie. It does not.,"November 7, 2019"
Midway,George Thomas,fresh,Akron Beacon Journal,"It's difficult to knock Midway, given the ambition on display, but know going in that factor doesn't always translate.","November 7, 2019"
Midway,Travis Hopson,rotten,Punch Drunk Critics,"Not even actors the caliber of Patrick Wilson, Dennis Quaid, Aaron Eckhart, and Woody Harrelson can make heads or tails out of the rah-rah speechifying and expository statements they are forced to rattle off.","November 7, 2019"
Midway,Clint Worthington,rotten,The Spool,"An unfocused, sleepy mess of a war movie that can't quite get its sea legs under it.","November 7, 2019"
Midway,Clarisse Loughrey,rotten,Independent (UK),"The film may be packed with recognisable faces, but these are hollow characters, all placed on some arbitrary scale of machismo.","November 7, 2019"
Midway,Tim Robey,fresh,Daily Telegraph (UK),"Simply put, it's a lot dumber than Dunkirk, but never as pandering as Pearl Harbor.","November 7, 2019"
Midway,Joey Magidson,rotten,Hollywood News,"Decent action meets a terrible screenplay in ""Midway,"" which is perhaps the best definition of a Roland Emmerich picture you can come up with.","November 7, 2019"
Midway,Roger Tennis,fresh,Cinemaclips.com,Superb battle sequences and a solid ensemble cast bring this harrowing conflict to life.,"November 7, 2019"
Midway,Marc Savlov,fresh,Austin Chronicle,"Despite the carnage and horrors galore, the script treats the Enemy as every bit as human as Our Boys, right up until their bitter, briny end.","November 7, 2019"
Midway,Rich Phippen,rotten,HeyUGuys,Read the book. Play the video game. Just don't waste your life watching Midway.,"November 7, 2019"
Midway,Robert Daniels,rotten,812filmreviews,"Though Emmerich delivers sharply constructed battles, the sprawling 138-minute epic: in its sporadic focus, makes Michael Bay's slightly underrated thirst trap Pearl Harbor look like a masterpiece.","November 7, 2019"
Midway,Julian Roman,rotten,MovieWeb,"Blockbuster visual effects, particularly the aerial dogfights, save Midway from being a total clunker.","November 7, 2019"
Midway,Dustin Chase,rotten,Galveston Daily News,A weak script and unconvincing visual effects sink Midway before it even gets ready for battle.,"November 7, 2019"
Midway,Ben Kenigsberg,rotten,New York Times,It is rousing and respectful in its best moments and faintly ridiculous in others.,"November 6, 2019"
Midway,Don Kaye,rotten,Den of Geek,When Christopher Nolan can make you feel like you are truly there in Dunkirk there's no excuse for a war movie as superficial and phony-looking as Midway. Emmerich should go back to monsters and spaceships.,"November 6, 2019"
Midway,Jim Slotek,fresh,Original Cin,"No aliens or monsters or preposterous disaster scenarios are needed to excuse excess. The story automatically comes with the sinking of aircraft carriers and battleships, blazing aerial dogfights and vertigo-inducing dive-bombing.","November 6, 2019"
Midway,John Lui,rotten,The Straits Times (Singapore),"The most interesting fact about this production is that the director is Roland Emmerich, the man who takes disasters and makes them even more disastery.","November 6, 2019"
Midway,Robert Kojder,rotten,Flickering Myth,Midway is intermittently dazzling but more boring and numbing than anything,"November 6, 2019"
Midway,Mick LaSalle,rotten,San Francisco Chronicle,It loses energy as director Roland Emmerich gradually gets himself lost in the weeds.,"November 6, 2019"
Midway,Chris Bumbray,rotten,JoBlo's Movie Emporium,"Admirably low on jingoism , but still rather old-fashioned and quaint.","November 6, 2019"
Midway,Rachel Wagner,rotten,rachelsreviews.net,The problem is this is 2019 and such a jingoistic approach feels woefully outdated and simplistic.,"November 6, 2019"
Midway,Joyce Slaton,rotten,Common Sense Media,"Battle epic tries hard but is too long, hard to follow.","November 6, 2019"
Midway,Chuck Yarborough,fresh,Cleveland Plain Dealer,"Harrelson continues to prove his range as an actor, giving an understated performance -- almost to the point of somnambulance.","November 6, 2019"
Midway,Nigel Andrews,fresh,Financial Times,"The film is mostly a Boys' Own blast on the jingoism trumpet, spectacularly delivered.","November 6, 2019"
Midway,Chris Evangelista,rotten,Slashfilm,No.,"November 6, 2019"
Midway,Dwight Brown,fresh,National Newspaper Publishers Association,"Roland Emmerich's latest work, though still a popcorn action film, has some girth. Not enough to smother war film fans in history. Just enough to keep them engaged. Just enough.","November 6, 2019"
Midway,J. Don Birnam,fresh,AwardsCircuit.com,"""Midway"" may be conventional and even cliche, but, in this case, conventional is good - heroism and improbability are the stuff of great movies, and this remarkable story is told with awesome effects and acceptable-enough dialogue","November 6, 2019"
Midway,James Mottram,rotten,South China Morning Post,"Despite the impressive CGI-led battle scenes ... Midway is strangely pedestrian. Characters and dialogue fall flat, lacking the emotional pull you might expect.","November 6, 2019"
Midway,David Ehrlich,rotten,indieWire,"A bland as hell, Walmart-ready, torpedo-by-numbers retelling of World War II's most decisive naval battle.","November 6, 2019"
Midway,Keith Watson,rotten,Slant Magazine,"In the film, the Battle of Midway suggests something out of a photorealistic animated film.","November 6, 2019"
Midway,Adam Woodward,fresh,Little White Lies,The success of Midway ultimately rests with the director's decision to provide a more balanced version of events.,"November 6, 2019"
Midway,William Bibbiani,rotten,TheWrap,"There's no denying that he fills his film with breathtaking images of aerial action and naval warfare, but like many of Emmerich's movies, even the better ones, Midway loses sight of the humanity inside its vast vistas of devastation.","November 6, 2019"
Midway,Jonathan Roberts,rotten,The New Paper (Singapore),"Midway stacks its cliches high, creating a rickety tower of Hollywood nonsense.","November 6, 2019"
Midway,Danielle Solzman,fresh,Solzy at the Movies,Midway just happens to tell one story but does so in a way in which we see it through both American and Japanese eyes.,"November 6, 2019"
Midway,Michael Phillips,rotten,Chicago Tribune,"Emmerich's ""Midway"" manages to corral a screen full of true-life characters, up and down the chain of command. Yet you can't fully buy even the real, true material here.","November 6, 2019"
Midway,Ignatiy Vishnevetsky,rotten,AV Club,"With apologies to George S. Patton, Midway teaches us that wars may be fought with weapons, but they are won by jawlines and cheekbones.","November 6, 2019"
Midway,Weldon B. Johnson,fresh,Arizona Republic,"While the movie doesn't break new ground, it's a story pretty well told. If you're a fan of war epics of movies about flying, you'll find something that holds your interest.","November 6, 2019"
Midway,Edward Douglas,rotten,The Beat,Midway is so bad it makes Battleship - a film more like what we normally might expect from Emmerich - look good.,"November 6, 2019"
Midway,Mark Kennedy,rotten,Associated Press,"The director has taken real, living men who acted heroically and turned them into pulp comic strip characters.","November 6, 2019"
Midway,Ian Freer,rotten,Empire Magazine,"In a post Saving Private Ryan-Dunkirk landscape, it feels astonishing anyone is still making war movies like this.","November 6, 2019"
Midway,John DeFore,rotten,Hollywood Reporter,"Even a moviegoer who (like this one) is theoretically willing to see yesteryear's war-film genre reanimated with 21st-century production values will find little to love in Midway, which, despite a big budget and talented cast, is oddly unmoving.","November 6, 2019"
Midway,Cath Clarke,rotten,Guardian,"A big, long, loud, boring history lesson, it's a movie that opens a distance between yesterday's fights and today's.","November 6, 2019"
Midway,Nick Rogers,rotten,Midwest Film Journal,"Lumping this in with other nations' jingoistic efforts insults the inherent confidence and conviction behind propaganda, however mighty and just the moral outrage it provokes. Instead, ""Midway"" finds itself stuck squarely in a dollar theatre of war.","November 6, 2019"
Midway,Owen Gleiberman,fresh,Variety,"The film's drama is B-movie basic. But the destructive colliding metal-on-metal inferno of what war is what makes ""Midway"" a picture worth seeing.","November 6, 2019"
Midway,Soren Andersen,fresh,Seattle Times,What's not expected is how serious-minded and well-acted the picture is.,"November 6, 2019"
Midway,Kristy Puchko,fresh,IGN Movies,"Still, with all its gaps and flaws, Midway is a serviceable ode to servicemen this Veteran's Day weekend.","November 6, 2019"
Midway,Christopher Lloyd,fresh,The Film Yap,"A surprisingly effective old-school rip-roaring war picture, with square-jawed actors and impressive CGI action scenes.","November 6, 2019"
Midway,Roger Moore,rotten,Movie Nation,"'Not awful' is Emmerich's victory, here.","November 6, 2019"
Midway,Joshua Rothkopf,fresh,Time Out,"Steel battleships and raining fire are Midway's primary colors; the movie flaunts its hugeness at every turn. You'll never mistake it for the real thing, but Emmerich's eye for historical detail is scary.","November 6, 2019"
Doctor Sleep,Dennis Schwartz,fresh,Ozus' World Movie Reviews,Underwhelming sequel.,"November 17, 2019"
Doctor Sleep,Matt Brunson,rotten,Film Frenzy,"Rose the Hat is an original and unsettling character. The other members of the True Knot are far less threatening, coming across less as avatars of unspeakable evil and more as burned-out roadies still following their favorite '70s band decades later.","November 16, 2019"
Doctor Sleep,Devesh Sharma,fresh,Filmfare,"Summing up, the film offers a fresh perspective to the shining universe and will surely appeal to both new and old fans.","November 15, 2019"
Doctor Sleep,David 'Mad Dog' Bradley,rotten,Adelaide Review,Is likely to underwhelm ardent fans of the Kubrick film (which King famously loathes) and baffle anyone who somehow hasn't seen it.,"November 15, 2019"
Doctor Sleep,Dann Gire,rotten,Chicago Daily Herald,Flanagan moves King's story along in fits and starts.,"November 15, 2019"
Doctor Sleep,Mark Ellis,fresh,Schmoes Know,"I thought it was fantastic, and it made me want to watch The Shining again.","November 15, 2019"
Doctor Sleep,Blake Howard,fresh,Dark Horizons,"""Doctor Sleep"" is a worthwhile cinematic sequel, that improves on the source by refracting it through Kubrick's superior vision.","November 14, 2019"
Doctor Sleep,Allen Adams,fresh,The Maine Edge,"Being all things to all people rarely works, yet here we are - a film that is true to both the spirit of the book being adapted and of the film being remembered.","November 14, 2019"
Doctor Sleep,Micheal Compton,fresh,Bowling Green Daily News,"This is a film with substance, as much about fighting addictions and dealing with unspeakable trauma as it is about trying to give the audience scares and thrills.","November 14, 2019"
Doctor Sleep,Sean Chandler,fresh,Sean Chandler Talks About,A solid continuation of The Shining with deep rich themes and expanded world building.,"November 14, 2019"
Doctor Sleep,Rob Hunter,fresh,Film School Rejects,"It's not 'The Shining' and never tries to be, but it is one of the best Stephen King adaptations yet.","November 14, 2019"
Doctor Sleep,Diego Batlle,fresh,Otroscines.com,"A good tension development, suspense, and a remarkable work of Photography. [Full review in Spanish]","November 14, 2019"
Doctor Sleep,Sebastian Zavala Kahn,rotten,Me gusta el cine,A failed attempt to recuperate the magic of 'The Shining' on the big screen. [Full review in Spanish],"November 13, 2019"
Doctor Sleep,Tony Baker,fresh,Tony Baker Comedy,I enjoyed it. Give Dr. Sleep a shot.,"November 13, 2019"
Doctor Sleep,Anissa Hanley,fresh,Black Nerd Problems,"It's thrilling, surprising, and beautifully tells the continuation of The Shining with a few Easter eggs hidden inside.","November 13, 2019"
Doctor Sleep,Jonathan Roberts,fresh,The New Paper (Singapore),While Doctor Sleep is not very scary - and frankly not all of it makes sense - it is entertaining and does not feel like its 152-minute running time. It's fun.,"November 13, 2019"
Doctor Sleep,Kim Newman,fresh,Sight and Sound,"With Kubrick-like attention to detail, Flanagan plays with images and themes we remember, but always with different outcomes.","November 13, 2019"
Doctor Sleep,Nicols Delgadillo,fresh,Cultured Vultures,There are plenty of moments of greatness in Doctor Sleep.,"November 13, 2019"
Doctor Sleep,Erik Henriksen,fresh,"The Stranger (Seattle, WA)","Sure, Flanagan's no Kubrick, but he does pull off the too-rare trick of capturing the sprawling, earnest, weird vibe of a decent Stephen King novel, where the grotesque usually walks hand-in-hand with silliness.","November 12, 2019"
Doctor Sleep,Hugo Hernndez Valdivia,fresh,Cinexcepcin,It's a great film and it certainly provokes a bit of fear. [Full Review in Spanish],"November 12, 2019"
Doctor Sleep,Josh Terry,fresh,Deseret News (Salt Lake City),"""Doctor Sleep"" provides enough new intrigue mixed in with nostalgia to justify a ticket.","November 12, 2019"
Doctor Sleep,Drew Dietsch,fresh,GenreVision,"Mike Flanagan once again proves he's incredibly adept at adapting seemingly unadaptable Stephen King works. A fantastic, epic horror/fantasy.","November 12, 2019"
Doctor Sleep,Kent Garrison,fresh,Mad About Movies Podcast,Flanagan hits all the right notes in a film that is sure to be an absolute thrill for fans of Kubrick's The Shining.,"November 12, 2019"
Doctor Sleep,Molly Henery,fresh,The Blogging Banshee,Doctor Sleep is a stunning film that seamlessly combines the supernatural with trauma and addiction.,"November 12, 2019"
Doctor Sleep,K. Austin Collins,fresh,Vanity Fair,"A body of work that benefits from hindsight and reflection - unexpected pleasures for a horror movie, which must be why they feel so welcome.","November 12, 2019"
Doctor Sleep,Vicky Roach,fresh,Daily Telegraph (Australia),Doctor Sleep trades the full-on horror of its predecessor for something stranger and more haunting.,"November 12, 2019"
Doctor Sleep,Louisa Moore,fresh,Screen Zealots,"One of the better movies of the year, and should be embraced as a modern instant classic by fans of The Shining.","November 11, 2019"
Doctor Sleep,Jackie K. Cooper,fresh,jackiekcooper.com,"A well made, enjoyable film - which doesn't always happen with a Stephen King book. Plus Rebecca Ferguson is terrific.","November 11, 2019"
Doctor Sleep,Alan Jones,fresh,Radio Times,"Flanagan brings masterly touches to key moments of pure horror, like True Knot victim Bradley ""Baseball Boy"" Trevor's death, for a remarkably sinister and eerily on-target adaptation.","November 11, 2019"
Doctor Sleep,Tyler Carlsen,fresh,The Young Folks,Doctor Sleep is one of the rare late sequels that pretty much stuck the landing and provided an original and intriguing story.,"November 11, 2019"
Doctor Sleep,Nathanael Hood,fresh,Nate Hood Reviews,...those who choose to walk the halls of the Overlook once more might be pleasantly surprised.,"November 11, 2019"
Doctor Sleep,Mathew DeKinder,fresh,Suburban Journals of St. Louis,"""Doctor Sleep"" somehow manages to find just enough space outside of the long shadow of ""The Shining"" to be worthy of your attention and not wind up as just another nostalgic, cinematic cash grab.","November 11, 2019"
Doctor Sleep,Walter Chaw,fresh,Film Freak Central,"If Doctor Sleep is the product of two powerful fathers, the end result of the union is that unlikeliest of mules: a viable one. I'll be seeing it again.","November 11, 2019"
Doctor Sleep,Anthony Ray Bench,fresh,Film Threat,"If you're a fan of The Shining, you'll probably enjoy this. It's a well-written, well-directed, and well-shot love letter to one of the greatest films of all time.","November 11, 2019"
Doctor Sleep,Nicholas Bell,fresh,IONCINEMA.com,"Director Mike Flanagan achieves the impossible with Doctor Sleep, a cohesive and effective sequel to Kubrick's 1980 adaptation of the Stephen King classic The Shining which succeeds as a standalone film of its own narrative merit.","November 11, 2019"
Doctor Sleep,Alci Rengifo,fresh,Entertainment Voice,"Ewan McGregor gives a tense performance that never becomes manic, but quietly perceptive. Don't walk in expecting anything equal to the original, but a worthy addition it is.","November 11, 2019"
Doctor Sleep,Lauren Veneziani,fresh,WBAL-TV,Director Mike Flanagan's Doctor Sleep is a horror hit with memorable performances by Ewan McGregor and Rebecca Ferguson especially.,"November 11, 2019"
Doctor Sleep,William Venegas,fresh,La Nacin (Costa Rica),Doctor Sleep never fails to suggest that something terrible is about to take place: it's an ominous movie. [Full Review in Spanish],"November 11, 2019"
Doctor Sleep,Jeremy Jahns,fresh,JeremyJahns.com,"Doctor Sleep stands on its own in its horror element, but also serves as a proper sequel to Stanley Kubrick's Shining.","November 11, 2019"
Doctor Sleep,Matt Looker,fresh,TheShiznit.co.uk,"It's a Shining film in detail, but not in tone. It contains some of the same ghosts, but this is the opposite of a spiritual sequel.","November 11, 2019"
Doctor Sleep,Caillou Pettis,fresh,Battle Royale With Cheese,"Doctor Sleep is an utterly bone-chilling, skillfully acted, tension filled masterpiece that serves as an incredible sequel to The Shining.","November 10, 2019"
Doctor Sleep,Rubin Safaya,fresh,Cinemalogue,"Flanagan's return to the Overlook proffers a different kind of technical restoration, rescuing King's creation from the abandoned hotel in Kubrick's head.","November 10, 2019"
Doctor Sleep,Andrea Chase,fresh,Killer Movie Reviews,"Flanagan has devised a seamless reconciliation that is true to both the previous film and novel on which it was loosely based. In fact, he's turned several of the problems into virtues, while making a film that has true horror.","November 10, 2019"
Doctor Sleep,Kevin A. Ranson,fresh,MovieCrypt.com,... this Shining sequel understands and reworks continuity to elevate both films to the level of the novels' intentions while wallowing in the ghost porn and supernatural elements horror fans crave.,"November 10, 2019"
